,Ca,Mg,K,CO3,SO4,HCO3
100,1.29,1.86,0.92,1.05,0.74,0.34
150,1.28,1.83,0.94,1.04,0.73,0.33
200,1.27,1.8,0.95,1.03,0.72,0.33
300,1.23,1.76,0.96,1,0.72,0.33
400,1.2,1.74,0.96,0.99,0.71,0.32
500,1.17,1.71,0.96,0.98,0.7,0.32
600,1.15,1.69,0.96,0.97,0.69,0.32
700,1.13,1.67,0.96,0.96,0.685,0.32
800,1.11,1.65,0.96,0.95,0.68,0.32
900,1.09,1.63,0.96,0.94,0.675,0.32
1000,1.08,1.62,0.96,0.93,0.67,0.32
1500,1,1.56,0.95,0.88,0.64,0.31
2000,0.95,1.52,0.95,0.84,0.62,0.3
3000,0.87,1.46,0.93,0.78,0.59,0.29
4000,0.83,1.42,0.92,0.73,0.565,0.28
5000,0.8,1.39,0.91,0.69,0.55,0.28
6000,0.79,1.36,0.91,0.65,0.54,0.27
7000,0.78,1.33,0.905,0.62,0.53,0.27
8000,0.78,1.31,0.9,0.6,0.52,0.27
9000,0.78,1.29,0.895,0.58,0.51,0.26
10000,0.79,1.28,0.89,0.56,0.5,0.26
15000,0.82,1.21,0.9,0.5,0.47,0.24
20000,0.83,1.15,0.91,0.45,0.44,0.23
30000,0.81,1.06,0.93,0.4,0.41,0.22
40000,0.8,0.98,0.96,0.36,0.38,0.21
50000,0.77,0.9,1,0.32,0.36,0.2
60000,0.75,0.82,1.06,0.29,0.34,0.2
70000,0.73,0.72,1.11,0.26,0.32,0.19
80000,0.69,0.66,1.17,0.22,0.31,0.19
90000,0.66,0.57,1.22,0.19,0.3,0.18
100000,0.6,0.48,1.29,0.15,0.28,0.17
110000,0.56,0.4,1.36,0.11,0.27,0.16
120000,0.5,0.3,1.44,0.07,0.26,0.16
130000,0.45,0.2,1.52,0.04,0.25,0.16
140000,0.38,0.07,1.62,0,0.24,0.15
150000,0.32,0,1.8,0,0.23,0.15
160000,0.24,0,2,0,0.22,0.15
170000,0.16,0,3,0,0.22,0.14
180000,0.07,0,4,0,0.21,0.14
190000,0,0,5,0,0.2,0.14
200000,0,0,6,0,0.19,0.13
